
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# IsoCurve 0, 100 points
# x y z type
-2 -2  99 i
-1.71717 -1.93574  67.027 i
-1.67677 -1.93574  63.5071 i
-1.63636 -1.93574  60.1597 i
-1.59596 -1.93574  56.9784 i
-1.55556 -1.93574  53.9567 i
-1.51515 -1.93574  51.0884 i
-1.47475 -1.93574  48.3674 i
-1.43434 -1.93574  45.7878 i
-1.39394 -1.93574  43.3439 i
-1.35354 -1.93574  41.0299 i
-1.31313 -1.93574  38.8406 i
-1.27273 -1.93574  36.7706 i
-1.23232 -1.93574  34.8148 i
-1.19192 -1.93574  32.9683 i
-1.15152 -1.93574  31.2262 i
-1.11111 -1.93574  29.584 i
-1.07071 -1.93574  28.0371 i
-1.0303 -1.93574  26.5812 i
-0.989899 -1.93574  25.2121 i
-0.949495 -1.93574  23.926 i
-0.909091 -1.93574  22.7189 i
-0.868687 -1.93574  21.5871 i
-0.828283 -1.93574  20.5271 i
-0.787879 -1.93574  19.5357 i
-0.747475 -1.93574  18.6095 i
-0.707071 -1.93574  17.7456 i
-0.666667 -1.93574  16.941 i
-0.626263 -1.93574  16.1931 i
-0.585859 -1.93574  15.4992 i
-0.545455 -1.93574  14.8571 i
-0.505051 -1.93574  14.2644 i
-0.464646 -1.93574  13.7191 i
-0.424242 -1.93574  13.2192 i
-0.383838 -1.93574  12.763 i
-0.343434 -1.93574  12.3489 i
-0.30303 -1.93574  11.9755 i
-0.262626 -1.93574  11.6414 i
-0.222222 -1.93574  11.3456 i
-0.181818 -1.93574  11.0871 i
-0.141414 -1.93574  10.8651 i
-0.10101 -1.93574  10.679 i
-0.0606061 -1.93574  10.5282 i
-0.020202 -1.93574  10.4125 i
 0.020202 -1.93574  10.3317 i
 0.0606061 -1.93574  10.2858 i
 0.10101 -1.93574  10.2749 i
 0.141414 -1.93574  10.2995 i
 0.181818 -1.93574  10.3599 i
 0.222222 -1.93574  10.4567 i
 0.262626 -1.93574  10.5909 i
 0.30303 -1.93574  10.7634 i
 0.343434 -1.93574  10.9752 i
 0.383838 -1.93574  11.2277 i
 0.424242 -1.93574  11.5222 i
 0.464646 -1.93574  11.8605 i
 0.505051 -1.93574  12.2442 i
 0.545455 -1.93574  12.6753 i
 0.585859 -1.93574  13.1558 i
 0.626263 -1.93574  13.688 i
 0.666667 -1.93574  14.2743 i
 0.707071 -1.93574  14.9173 i
 0.747475 -1.93574  15.6196 i
 0.787879 -1.93574  16.3842 i
 0.828283 -1.93574  17.214 i
 0.868687 -1.93574  18.1123 i
 0.909091 -1.93574  19.0825 i
 0.949495 -1.93574  20.128 i
 0.989899 -1.93574  21.2525 i
 1.0303 -1.93574  22.4599 i
 1.07071 -1.93574  23.7542 i
 1.11111 -1.93574  25.1395 i
 1.15152 -1.93574  26.6202 i
 1.19192 -1.93574  28.2006 i
 1.23232 -1.93574  29.8855 i
 1.27273 -1.93574  31.6797 i
 1.31313 -1.93574  33.5881 i
 1.35354 -1.93574  35.6158 i
 1.39394 -1.93574  37.7681 i
 1.43434 -1.93574  40.0505 i
 1.47475 -1.93574  42.4684 i
 1.51515 -1.93574  45.0278 i
 1.55556 -1.93574  47.7345 i
 1.59596 -1.93574  50.5946 i
 1.63636 -1.93574  53.6143 i
 1.67677 -1.93574  56.8 i
 1.71717 -1.93574  60.1583 i
 1.75758 -1.93574  63.6958 i
